编号,板块,标题,发布日期,发文机关,policy_id,标注状态,缺失术语,词典覆盖术语
1,绿色合规端,中共中央办公厅 国务院办公厅关于更高水平更高质量做好节能降碳工作的意见,2026-04-22,中共中央办公厅 国务院办公厅,cn_7066622,,,
2,原料端,关于2025年度自治区第一批棉花加工企业不良行为的公示,2026-06-12,新疆维吾尔自治区发展和改革委员会,gov_xj_fgw_487d38a55693,,,
3,出口商贸端,市场监管总局关于印发《服务贸易标准化工作行动计划（2026—2030年）》的通知,2026-04-29,商务部 市场监管总局,gov_sac_zcwj_4d32b42e2ae6,,,
4,绿色合规端,关于开展重点行业节能降碳改造攻坚三年行动的通知,2026-06-15,国家发展改革委,ndrc_1405854,,,
5,绿色合规端,市商务委关于2026年上海市商业节能减碳绿色发展工作要点的通知,2026-06-22,上海市商务委员会,gov_sh_commerce_90ac2dcbf133,,,
6,智能制造端,工业和信息化部办公厅关于组织开展国家级零碳工厂建设工作的通知,2026-07-22,,gov_miit_zcwj_e460f1caf88d,,,
7,绿色合规端,省发展改革委关于印发《浙江省固定资产投资项目节能审查和碳排放评价实施办法》的通知,2026-06-05,浙江省发展和改革委员会,gov_zj_fgw_b83b4aa26e49,,,
8,出口商贸端,江西省人民政府办公厅关于印发《江西省贸易政策合规工作实施细则》的通知,2026-06-22,江西省人民政府办公厅,jx_2068881186569756672,,,
9,智能制造端,工业和信息化部关于印发《工业绿色低碳发展“十五五”规划》的通知,2026-07-31,工业和信息化部,gov_miit_20260731_green_15th_plan,,,
10,科技人才文化端,关于总结推广上海浦东新区、深圳、厦门综合改革试点创新举措和经验做法的通知,2026-06-05,国家发展改革委,ndrc_1405708,,,
11,智能制造端,工业和信息化部等七部门办公厅（办公室）关于开展2026年工业和信息化领域创新任务揭榜挂帅工作的通知,2026-07-29,工业和信息化部、国家文物局等七部门,gov_miit_20260729_jiebangguashuai,,,
12,科技人才文化端,商务部等9部门关于加快零售业创新发展的意见,2026-07-09,商务部等9部门,gov_mofcom_wwmwwzzccs_ca06c3a35054,,,
13,制造端,关于印发《山东省“人工智能+制造”行动方案（2026-2028年）》的通知,2026-05-18,山东省工业和信息化厅,gov_sd_gxt_80ff784c8f40,,,
14,原料端,关于2026—2028年棉花目标价格政策的通知,2026-05-25,国家发展改革委 财政部,ndrc_1405461,,,
15,科技人才文化端,省政府关于印发苏州市激发产业创新活力专项行动方案的通知,2026-06-11,江苏省人民政府,gov_js_gov_69cb795c87c4,,,
16,制造端,市场监管总局等六部门关于大力促进新时代广告产业高质量发展的意见,2026-06-23,市场监管总局等六部门,gov_samr_zfxxgk_15162fb52e54,,,
17,出口商贸端,上海市人民政府办公厅关于转发市商务委修订的《上海市贸易政策合规工作实施细则》的通知,2026-06-25,上海市人民政府办公厅,gov_sh_gov_aa68a1717f3f,,,
18,制造端,关于印发《山东省工装产业高质量发展行动方案（2026-2028年）》的通知,2026-01-07,山东省工业和信息化厅、山东省总工会、山东省发展改革委、山东省科技厅、山东省财政厅、山东省人力资源社会保障厅、山东省商务厅、山东省市场监管局,gov_sd_gxt_288acff62856,,,
19,科技人才文化端,市场监管总局标准创新司关于征集承担国际标准化组织（ISO）技术机构秘书处和国内技术对口单位的通知,2026-06-02,市场监管总局标准创新司,gov_sac_tzgg_b5768d096273,,,
20,出口商贸端,关于2025年度“浙江出口名牌”（含跨境电商）名单的公示,2026-05-09,浙江省商务厅,gov_zj_swt_231ae1cf9986,,,
