hs6_code,en_name
500100,Silk; silk-worm cocoons suitable for reeling
500200,Silk; raw silk (not thrown)
500300,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock)"
500400,"Silk; yarn (other than yarn spun from silk waste), not put up for retail sale"
500500,"Silk; yarn spun from silk waste, not put up for retail sale"
500600,"Silk yarn and yarn spun from silk waste; put up for retail sale, and silk-worm gut"
500710,Silk; woven fabrics of noil silk
500720,"Silk; woven fabrics, containing 85% or more by weight of silk or of silk waste other than noil silk"
500790,Silk; woven fabrics n.e.c. in heading no. 5007
510111,"Wool; (not carded or combed), greasy (including fleece-washed wool), shorn"
510119,"Wool; (other than shorn), greasy (including fleece-washed wool), not carded or combed"
510121,"Wool; (not carded or combed), degreased, (not carbonised), shorn"
510129,"Wool; (not carded or combed), degreased, (not carbonised), (other than shorn)"
510130,"Wool; (not carded or combed), carbonised"
510211,"Hair; fine animal hair, not carded or combed, of kashmir (cashmere) goats"
510219,"Hair; fine animal hair, not carded or combed, other than of kashmir (cashmere) goats"
510220,"Hair; coarse animal hair, not carded or combed"
510310,"Wool and hair; noils of wool or of fine animal hair, including yarn waste, but excluding garnetted stock"
510320,"Wool and hair; waste of wool or of fine animal hair, including yarn waste, but excluding garnetted stock and noils of wool or of fine animal hair"
510330,"Wool and hair; waste of coarse animal hair, including yarn waste, but excluding garnetted stock"
510400,Wool and hair; garnetted stock of wool or of fine or coarse animal hair
510510,Wool; carded
510521,"Wool; wool tops and other combed wool, in fragments"
510529,"Wool; wool tops and other combed wool, other than in fragments"
510531,"Hair; fine animal hair, carded or combed, of kashmir (cashmere) goats"
510539,"Hair; fine animal hair, carded or combed, other than of kashmir (cashmere) goats"
510540,"Hair; coarse animal hair, carded or combed"
510610,"Yarn; of carded wool, containing 85% or more by weight of wool, not put up for retail sale"
510620,"Yarn; of carded wool, containing less than 85% by weight of wool, not put up for retail sale"
510710,"Yarn; of combed wool, containing 85% or more by weight of wool, not put up for retail sale"
510720,"Yarn; of combed wool, containing less than 85% by weight of wool, not put up for retail sale"
510810,"Yarn; of fine animal hair, carded, not put up for retail sale"
510820,"Yarn; of fine animal hair, combed, not put up for retail sale"
510910,"Yarn; of wool or of fine animal hair, containing 85% or more by weight of wool or fine animal hair, put up for retail sale"
510990,"Yarn; of wool or of fine animal hair, containing less than 85% by weight of wool or fine animal hair, put up for retail sale"
511000,"Yarn; of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale"
511111,"Fabrics, woven; of carded wool or of carded fine animal hair, containing 85% or more by weight of wool or of fine animal hair, of a weight not exceeding 300g/m2"
511119,"Fabrics, woven; of carded wool or of carded fine animal hair, containing 85% or more by weight of wool or of fine animal hair, of a weight exceeding 300g/m2"
511120,"Fabrics, woven; of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made filaments"
511130,"Fabrics, woven; of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres"
511190,"Fabrics, woven; of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with fibres n.e.c. in heading no. 5111"
511211,"Fabrics, woven; of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight not exceeding 200g/m2"
511219,"Fabrics, woven; of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight exceeding 200g/m2"
511220,"Fabrics, woven; of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made filaments"
